regulation_ID	iso2	year	legal_form
NL_1	NL	2016	Limited liability enterprise
NL_1	NL	2017	Limited liability enterprise
NL_1	NL	2018	Limited liability enterprise
NL_1	NL	2019	Limited liability enterprise
NL_1	NL	2020	Limited liability enterprise
NL_1	NL	2021	Limited liability enterprise
NL_1	NL	2022	Limited liability enterprise
NL_2	NL	2010	"Partnership, co-operatives, associations, etc."
NL_2	NL	2011	"Partnership, co-operatives, associations, etc."
NL_2	NL	2012	"Partnership, co-operatives, associations, etc."
NL_2	NL	2013	"Partnership, co-operatives, associations, etc."
NL_2	NL	2014	"Partnership, co-operatives, associations, etc."
NL_2	NL	2015	"Partnership, co-operatives, associations, etc."
NL_2	NL	2016	"Partnership, co-operatives, associations, etc."
NL_2	NL	2017	"Partnership, co-operatives, associations, etc."
NL_2	NL	2018	"Partnership, co-operatives, associations, etc."
NL_2	NL	2019	"Partnership, co-operatives, associations, etc."
NL_2	NL	2020	"Partnership, co-operatives, associations, etc."
NL_2	NL	2021	"Partnership, co-operatives, associations, etc."
NL_2	NL	2022	"Partnership, co-operatives, associations, etc."
NL_3	NL	2010	"Partnership, co-operatives, associations, etc."
NL_3	NL	2011	"Partnership, co-operatives, associations, etc."
NL_3	NL	2012	"Partnership, co-operatives, associations, etc."
NL_3	NL	2013	"Partnership, co-operatives, associations, etc."
NL_3	NL	2014	"Partnership, co-operatives, associations, etc."
NL_3	NL	2015	"Partnership, co-operatives, associations, etc."
NL_3	NL	2016	"Partnership, co-operatives, associations, etc."
NL_3	NL	2017	"Partnership, co-operatives, associations, etc."
NL_3	NL	2018	"Partnership, co-operatives, associations, etc."
NL_3	NL	2019	"Partnership, co-operatives, associations, etc."
NL_3	NL	2020	"Partnership, co-operatives, associations, etc."
NL_3	NL	2021	"Partnership, co-operatives, associations, etc."
NL_3	NL	2022	"Partnership, co-operatives, associations, etc."
NL_4	NL	2010	Sole proprietorship
NL_4	NL	2011	Sole proprietorship
NL_4	NL	2012	Sole proprietorship
NL_4	NL	2013	Sole proprietorship
NL_4	NL	2014	Sole proprietorship
NL_4	NL	2015	Sole proprietorship
NL_4	NL	2016	Sole proprietorship
NL_4	NL	2017	Sole proprietorship
NL_4	NL	2018	Sole proprietorship
NL_4	NL	2019	Sole proprietorship
NL_4	NL	2020	Sole proprietorship
NL_4	NL	2021	Sole proprietorship
NL_4	NL	2022	Sole proprietorship
